school_code_name_grade_span_subject_grade_type_subgroup_num_tested_num_l1_pct_l1_num_l2_pct_l2_num_l3_pct_l3_num_l4_pct_l4_num_l5_pct_l5_num_ccr_pct_ccr_num_glp_pct_glp_avg_score,proficiency_band_id,subject_id,breakdown_id,school_value_float
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,25,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,24,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,23,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,22,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,25,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,24,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,23,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,22,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,25,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,24,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,23,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,22,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,25,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,24,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,23,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,22,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,25,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,24,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,23,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,22,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,25,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,24,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,23,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL ALL WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,22,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,25,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,24,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,23,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,22,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,25,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,24,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,23,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,22,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,25,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,24,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,23,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,22,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,25,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,24,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,23,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,22,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,25,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,24,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,23,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,22,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,25,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,24,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,23,,,
010303  Alamance-Burlington Middle College  09-12   ALL ALL RG  WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,22,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,25,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,24,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,23,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,22,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,25,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,24,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,23,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    ,22,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,25,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,24,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,23,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    ,22,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,25,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,24,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,23,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,22,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,25,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,24,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,23,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    ,22,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,25,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,24,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,23,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC ALL WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    ,22,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,25,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,24,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,23,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  ALL 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,22,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    243.8,25,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    243.8,24,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    243.8,,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    243.8,23,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  EDS 5   -   -   -   -   -   -   -   <5  -   <5  -   <5  1   20.0    243.8,22,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    245.0,25,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    245.0,24,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    245.0,,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    245.0,23,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  FEM 5   -   -   -   -   -   <5  -   -   -   <5  1   20.0    1   20.0    245.0,22,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,25,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,24,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,23,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  NOT_LEP 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,22,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,25,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,24,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,23,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  NOT_SWD 7   1   14.3    3   42.9    1   14.3    1   14.3    1   14.3    2   28.6    3   42.9    248.3,22,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    251.4,25,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    251.4,24,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    251.4,,,,
010303  Alamance-Burlington Middle College  09-12   BI  EOC RG  WHTE    5   -   <5  -   -   -   -   -   -   -   -   2   40.0    3   60.0    251.4,23,,,
